rules,lift,support,confidence,count
"{농산가공,햄} => {유제품}",11.44854968,0.00191991,0.523195876,8932
"{위생세제,유제품,일반가공식품} => {채소}",11.4295768,0.001283021,0.450082944,5969
"{수입식품,청과} => {농산가공}",11.41735616,0.001829847,0.421352207,8513
"{채소,햄} => {유제품}",11.40283197,0.001485931,0.521106588,6913
"{위생세제,유기농채소} => {유제품}",11.39171451,0.001151688,0.520598523,5358
"{일반가공식품,청과} => {유제품}",11.36354864,0.003676245,0.51931135,17103
"{음료,일반가공식품} => {유제품}",11.34683285,0.002569051,0.518547442,11952
"{위생세제,청과} => {유제품}",11.3460277,0.002622143,0.518510647,12199
"{유기농채소,청과} => {농산가공}",11.33939844,0.002246415,0.418475214,10451
"{농산가공,유제품,일반가공식품,채소} => {청과}",11.32178735,0.001312899,0.52343817,6108
"{위생세제,음료} => {유제품}",11.31030249,0.001866173,0.516878014,8682
"{생선,유제품,채소} => {청과}",11.27074511,0.001238097,0.521078343,5760
"{농산가공,채소,청과} => {유제품}",11.24927485,0.003243126,0.514089066,15088
{계육} => {채소},11.2414327,0.001373514,0.442674056,6390
"{유제품,음료,채소} => {청과}",11.23318883,0.001235088,0.51934201,5746
"{농산가공,수입식품} => {유제품}",11.19700158,0.002477054,0.511700191,11524
"{음료,일반가공식품} => {농산가공}",11.18135327,0.002044365,0.412642631,9511
"{위생세제,유제품,채소} => {청과}",11.14292607,0.001350515,0.515168908,6283
"{위생세제,채소} => {유제품}",11.13174054,0.002621498,0.508717778,12196
"{우육,유제품,채소} => {청과}",11.09348214,0.001176622,0.512882976,5474
"{유기농채소,유제품,채소} => {청과}",11.04500858,0.001294413,0.510641906,6022
{어묵} => {농산가공},11.04292936,0.003506652,0.407534161,16314
"{유제품,햄} => {채소}",11.03680003,0.001485931,0.434615868,6913
"{수입식품,유제품,일반가공식품} => {채소}",11.01497643,0.001042925,0.433756481,4852
"{농산가공,즉석반찬,채소} => {유제품}",11.00865467,0.00110139,0.503092784,5124
"{농산가공,생선,청과} => {유제품}",10.99073429,0.001115792,0.502273827,5191
"{냉동식품,농산가공} => {유제품}",10.9721231,0.00102229,0.5014233,4756
"{수입식품,유제품,채소} => {청과}",10.966874,0.001085269,0.507029524,5049
"{일반가공식품,즉석반찬} => {유제품}",10.96574223,0.001284956,0.501131696,5978
"{수입식품,유제품} => {농산가공}",10.96359648,0.002477054,0.404606418,11524
"{유제품,즉석반찬} => {채소}",10.93416355,0.001795671,0.430574168,8354
"{위생세제,음료} => {농산가공}",10.8681369,0.001448101,0.401083527,6737
"{농산가공,음료,채소} => {청과}",10.86775206,0.001213808,0.502446837,5647
"{음료,청과} => {채소}",10.8330311,0.002071018,0.426591694,9635
